state,city,min_lat,max_lat,min_long,max_long
KY,PADUCAH,37.0581,38.2317,-88.5725,-82.5353
KY,LEXINGTON,37.0581,38.2317,-88.5725,-82.5353
KY,OWENSBORO,37.0581,38.2317,-88.5725,-82.5353
KY,PIKEVILLE,37.0581,38.2317,-88.5725,-82.5353
LA,BATON ROUGE,29.7639,32.5364,-93.7492,-89.9761
LA,CHALMETTE,29.7639,32.5364,-93.7492,-89.9761
LA,NEW ORLEANS,29.7639,32.5364,-93.7492,-89.9761
LA,FRENCH SETTLEMENT,29.7639,32.5364,-93.7492,-89.9761
LA,KENNER,29.7639,32.5364,-93.7492,-89.9761
LA,MADISONVILLE,29.7639,32.5364,-93.7492,-89.9761
LA,SHREVEPORT,29.7639,32.5364,-93.7492,-89.9761
LA,THIBODAUX,29.7639,32.5364,-93.7492,-89.9761
LA,WESTLAKE,29.7639,32.5364,-93.7492,-89.9761
MA,BOSTON,41.6833,42.7708,-73.2547,-70.96276999999998
MA,BROCKTON,41.6833,42.7708,-73.2547,-70.96276999999998
MA,CHELMSFORD,41.6833,42.7708,-73.2547,-70.96276999999998
MA,CHICOPEE,41.6833,42.7708,-73.2547,-70.96276999999998
MA,FALL RIVER,41.6833,42.7708,-73.2547,-70.96276999999998
MA,GREENFIELD,41.6833,42.7708,-73.2547,-70.96276999999998
MA,HAVERHILL,41.6833,42.7708,-73.2547,-70.96276999999998
MA,LYNN,41.6833,42.7708,-73.2547,-70.96276999999998
MA,NORTH ADAMS,41.6833,42.7708,-73.2547,-70.96276999999998
MA,PITTSFIELD,41.6833,42.7708,-73.2547,-70.96276999999998
MA,WEYMOUTH,41.6833,42.7708,-73.2547,-70.96276999999998
MA,WORCESTER,41.6833,42.7708,-73.2547,-70.96276999999998
MD,GUNPOWDER,38.5876,39.7011,-77.7219,-75.7972
MD,ELKTON,38.5876,39.7011,-77.7219,-75.7972
MD,HAGERSTOWN,38.5876,39.7011,-77.7219,-75.7972
MD,CAMBRIDGE,38.5876,39.7011,-77.7219,-75.7972
MD,MILLINGTON,38.5876,39.7011,-77.7219,-75.7972
MD,BALTIMORE,38.5876,39.7011,-77.7219,-75.7972
MD,COCKEYSVILLE,38.5876,39.7011,-77.7219,-75.7972
MD,DERWOOD,38.5876,39.7011,-77.7219,-75.7972
ME,BAR HARBOR,43.660248,47.3553,-70.5463,-67.88257
ME,BANGOR,43.660248,47.3553,-70.5463,-67.88257
ME,CARRABASSETT VALLEY,43.660248,47.3553,-70.5463,-67.88257
ME,LITTLETON,43.660248,47.3553,-70.5463,-67.88257
ME,MADAWASKA,43.660248,47.3553,-70.5463,-67.88257
ME,PRESQUE ISLE,43.660248,47.3553,-70.5463,-67.88257
ME,PORTLAND,43.660248,47.3553,-70.5463,-67.88257
ME,RUMFORD,43.660248,47.3553,-70.5463,-67.88257
MI,ALLEN PARK,41.9956,44.3106,-85.6711,-82.4564
MI,BAY CITY,41.9956,44.3106,-85.6711,-82.4564
MI,DEARBORN,41.9956,44.3106,-85.6711,-82.4564
MI,DETROIT,41.9956,44.3106,-85.6711,-82.4564
MI,FLINT,41.9956,44.3106,-85.6711,-82.4564
MI,GRAND RAPIDS,41.9956,44.3106,-85.6711,-82.4564
MI,MERRITT,41.9956,44.3106,-85.6711,-82.4564
MI,KALAMAZOO,41.9956,44.3106,-85.6711,-82.4564
MI,LIVONIA,41.9956,44.3106,-85.6711,-82.4564
MI,PORT HURON,41.9956,44.3106,-85.6711,-82.4564
MI,TECUMSEH,41.9956,44.3106,-85.6711,-82.4564
MI,YPSILANTI,41.9956,44.3106,-85.6711,-82.4564
MN,BLAINE,43.9947,47.9721,-95.835,-89.6908
MN,BRAINERD,43.9947,47.9721,-95.835,-89.6908
MN,DULUTH,43.9947,47.9721,-95.835,-89.6908
MN,CLOQUET,43.9947,47.9721,-95.835,-89.6908
MN,GRAND PORTAGE,43.9947,47.9721,-95.835,-89.6908
MN,LAKEVILLE,43.9947,47.9721,-95.835,-89.6908
MN,CASS LAKE,43.9947,47.9721,-95.835,-89.6908
MN,MARSHALL,43.9947,47.9721,-95.835,-89.6908
MN,MINNEAPOLIS,43.9947,47.9721,-95.835,-89.6908
MN,SHEVLIN,43.9947,47.9721,-95.835,-89.6908
MN,ROCHESTER,43.9947,47.9721,-95.835,-89.6908
MN,SHAKOPEE,43.9947,47.9721,-95.835,-89.6908
MN,ST PAUL,43.9947,47.9721,-95.835,-89.6908
MN,ST CLOUD,43.9947,47.9721,-95.835,-89.6908
MN,ST MICHAEL,43.9947,47.9721,-95.835,-89.6908
MN,VIRGINIA,43.9947,47.9721,-95.835,-89.6908
MO,ARNOLD,37.256138,39.7417,-94.8583,-90.18977
MO,ST. LOUIS,37.256138,39.7417,-94.8583,-90.18977
MO,EL DORADO SPRINGS,37.256138,39.7417,-94.8583,-90.18977
MO,KEARNEY,37.256138,39.7417,-94.8583,-90.18977
MO,BELTON,37.256138,39.7417,-94.8583,-90.18977
MO,ST JOSEPH,37.256138,39.7417,-94.8583,-90.18977
MS,CLEVELAND,30.3008,34.8275,-90.73417,-88.5339
MS,GULFPORT,30.3008,34.8275,-90.73417,-88.5339
MS,HATTIESBURG,30.3008,34.8275,-90.73417,-88.5339
MS,HERNANDO,30.3008,34.8275,-90.73417,-88.5339
MS,JACKSON,30.3008,34.8275,-90.73417,-88.5339
MS,PASCAGOULA,30.3008,34.8275,-90.73417,-88.5339
MS,WAVELAND,30.3008,34.8275,-90.73417,-88.5339
MT,BILLINGS,45.206448,48.97123,-115.548,-108.42655
MT,BOZEMAN,45.206448,48.97123,-115.548,-108.42655
MT,BUTTE,45.206448,48.97123,-115.548,-108.42655
MT,BONNER,45.206448,48.97123,-115.548,-108.42655
MT,COLUMBIA FALLS,45.206448,48.97123,-115.548,-108.42655
MT,CUT BANK,45.206448,48.97123,-115.548,-108.42655
MT,DILLON,45.206448,48.97123,-115.548,-108.42655
MT,FRENCHTOWN,45.206448,48.97123,-115.548,-108.42655
MT,GREAT FALLS,45.206448,48.97123,-115.548,-108.42655
MT,HAMILTON,45.206448,48.97123,-115.548,-108.42655
MT,HAVRE,45.206448,48.97123,-115.548,-108.42655
MT,LEWISTOWN,45.206448,48.97123,-115.548,-108.42655
MT,LIBBY,45.206448,48.97123,-115.548,-108.42655
MT,MISSOULA,45.206448,48.97123,-115.548,-108.42655
MT,WHITE SULPHUR SPRINGS,45.206448,48.97123,-115.548,-108.42655
MT,HELENA,45.206448,48.97123,-115.548,-108.42655
MT,SEELEY LAKE,45.206448,48.97123,-115.548,-108.42655
MT,THOMPSON FALLS,45.206448,48.97123,-115.548,-108.42655
MT,REXFORD,45.206448,48.97123,-115.548,-108.42655
NC,ASHEVILLE,34.3561,36.1106,-83.4436,-77.358
NC,SANFORD,34.3561,36.1106,-83.4436,-77.358
NC,BRYSON CITY,34.3561,36.1106,-83.4436,-77.358
NC,CANDOR,34.3561,36.1106,-83.4436,-77.358
NC,CASTLE HAYNE,34.3561,36.1106,-83.4436,-77.358
NC,WINSTON-SALEM,34.3561,36.1106,-83.4436,-77.358
NC,DURHAM,34.3561,36.1106,-83.4436,-77.358
NC,CHARLOTTE,34.3561,36.1106,-83.4436,-77.358
NC,HICKORY,34.3561,36.1106,-83.4436,-77.358
NC,LEGGETT,34.3561,36.1106,-83.4436,-77.358
NC,GREENSBORO,34.3561,36.1106,-83.4436,-77.358
NC,RALEIGH,34.3561,36.1106,-83.4436,-77.358
NC,GREENVILLE,34.3561,36.1106,-83.4436,-77.358
NC,SYLVA,34.3561,36.1106,-83.4436,-77.358
NC,MORRISVILLE,34.3561,36.1106,-83.4436,-77.358
NE,BELLEVUE,40.8125,41.2474,-96.6831,-95.95608
NE,OMAHA,40.8125,41.2474,-96.6831,-95.95608
NH,KEENE,42.862537,43.075367,-72.2778,-70.74802
NH,LONDONDERRY,42.862537,43.075367,-72.2778,-70.74802
NH,PORTSMOUTH,42.862537,43.075367,-72.2778,-70.74802
NJ,GALLOWAY,39.42227000000001,40.924606,-75.12529,-73.9661
NJ,CAMDEN,39.42227000000001,40.924606,-75.12529,-73.9661
NJ,COLUMBIA,39.42227000000001,40.924606,-75.12529,-73.9661
NJ,FLEMINGTON,39.42227000000001,40.924606,-75.12529,-73.9661
NJ,FORT LEE,39.42227000000001,40.924606,-75.12529,-73.9661
NJ,JERSEY CITY,39.42227000000001,40.924606,-75.12529,-73.9661
NJ,MILLVILLE,39.42227000000001,40.924606,-75.12529,-73.9661
NJ,NEWARK,39.42227000000001,40.924606,-75.12529,-73.9661
NJ,RAHWAY,39.42227000000001,40.924606,-75.12529,-73.9661
NJ,LAWRENCE TOWNSHIP,39.42227000000001,40.924606,-75.12529,-73.9661
NM,ANTHONY,31.7961,36.3833,-106.75121,-103.1233
NM,ALBUQUERQUE,31.7961,36.3833,-106.75121,-103.1233
NM,SUNLAND PARK,31.7961,36.3833,-106.75121,-103.1233
NM,HOBBS,31.7961,36.3833,-106.75121,-103.1233
NM,LAS CRUCES,31.7961,36.3833,-106.75121,-103.1233
NM,BERNALILLO,31.7961,36.3833,-106.75121,-103.1233
NM,SANTA FE,31.7961,36.3833,-106.75121,-103.1233
NM,TAOS,31.7961,36.3833,-106.75121,-103.1233
NV,CARSON CITY,36.04874,39.621418,-119.80772,-115.05288
NV,NORTH LAS VEGAS,36.04874,39.621418,-119.80772,-115.05288
NV,LAS VEGAS,36.04874,39.621418,-119.80772,-115.05288
NV,GARDNERVILLE,36.04874,39.621418,-119.80772,-115.05288
NV,RENO,36.04874,39.621418,-119.80772,-115.05288
NV,SPARKS,36.04874,39.621418,-119.80772,-115.05288
NY,ALBANY,40.7447,44.9806,-78.8993,-73.0575
NY,THE BRONX,40.7447,44.9806,-78.8993,-73.0575
NY,BUFFALO,40.7447,44.9806,-78.8993,-73.0575
NY,CHEEKTOWAGA,40.7447,44.9806,-78.8993,-73.0575
NY,WESTBURY,40.7447,44.9806,-78.8993,-73.0575
